term,coefficient,odds_ratio,ci_low,ci_high,p_value,n_observations,pseudo_r2
const,-6.937993872034614,0.0009702140196063036,3.270619079056223e-05,0.02878095006136422,6.0377590185406204e-05,11090.0,0.5741590604253813
access_time_min,0.5025478582181462,1.652927334691133,1.6096732640046738,1.69734370003253,5.169285265908183e-302,11090.0,0.5741590604253813
egress_time_min,0.46852520552331406,1.5976362697720878,1.5579997490737758,1.6382811691777786,1.6147965368389478e-292,11090.0,0.5741590604253813
trip_distance_miles,0.009543163482378275,1.0095888446657009,1.0031978711091052,1.0160205325660738,0.0032256953457370234,11090.0,0.5741590604253813
trip_duration_min,0.0042784380337066875,1.0042876036165085,1.001861290036653,1.0067197932568988,0.0005268410441423654,11090.0,0.5741590604253813
commute_trip,0.2607845274160227,1.2979479630992028,1.1227420067987992,1.5004951313051478,0.0004238592287369145,11090.0,0.5741590604253813
age,0.0013584419775999155,1.0013593650778485,0.9978102696093067,1.004921084267581,0.4533280972642676,11090.0,0.5741590604253813
vehicles_available,0.1401636456319681,1.1504620515429222,1.0744531574145562,1.2318479618275993,5.841013426614713e-05,11090.0,0.5741590604253813
sex_-8,-22.375372988849204,1.9164565635041938e-10,0.0,inf,0.9997758540591897,11090.0,0.5741590604253813
sex_1,1.2250123164708169,3.404208010361233,0.11738080727649478,98.72680591223182,0.47583406639217307,11090.0,0.5741590604253813
sex_2,1.2184801218025145,3.382043531105109,0.11662115620570898,98.08013244281291,0.4781847737020891,11090.0,0.5741590604253813
household_income_cat_-8,-0.513922377445163,0.5981448217900485,0.2356867468083422,1.5180201376583524,0.2794572471254798,11090.0,0.5741590604253813
household_income_cat_-9,-0.9508935151539145,0.3863956188245198,0.024628221600402858,6.062214993401773,0.49841582012504193,11090.0,0.5741590604253813
household_income_cat_1,0.331980038979342,1.3937250280607785,0.8094192739508751,2.399830985444151,0.2311651085190275,11090.0,0.5741590604253813
household_income_cat_10,0.32769732190359196,1.3877688614762032,0.7850178811388785,2.4533229868457522,0.25961554017048993,11090.0,0.5741590604253813
household_income_cat_11,0.03926320050581243,1.0400441877853368,0.5979319261349955,1.8090552875108503,0.8894327600118807,11090.0,0.5741590604253813
household_income_cat_2,0.10475268920594179,1.1104359535968797,0.6380426339604028,1.9325793315515907,0.7109879446416207,11090.0,0.5741590604253813
household_income_cat_3,0.40862963160290017,1.5047543038276368,0.865854286740566,2.6150884156403547,0.14729563243537405,11090.0,0.5741590604253813
household_income_cat_4,0.3172306475557188,1.3733192881361749,0.7848412516558049,2.403041205069029,0.26645205098317537,11090.0,0.5741590604253813
household_income_cat_5,0.32242516745550964,1.3804715827930818,0.7887569590401992,2.416082380075853,0.25888627167782774,11090.0,0.5741590604253813
household_income_cat_6,0.22486466111931339,1.2521532397058341,0.7258621705215796,2.160035058142217,0.4189251348713937,11090.0,0.5741590604253813
household_income_cat_7,0.18923110822159436,1.2083201729428725,0.6975568756455098,2.09307325512288,0.49962999424414223,11090.0,0.5741590604253813
household_income_cat_8,0.09249229966715103,1.0969046949965282,0.6258760736326339,1.9224251582616985,0.7466306864560845,11090.0,0.5741590604253813
household_income_cat_9,0.17163908990810972,1.187249265639818,0.6644084169674873,2.1215276368650566,0.5622422761231769,11090.0,0.5741590604253813
urban_or_msa_2,0.462739315256162,1.5884192117843252,1.1556007964180188,2.183345321486658,0.004358399271003336,11090.0,0.5741590604253813
urban_or_msa_4,-0.12763340181359661,0.8801759909285735,0.6033623298108088,1.283987641803915,0.5076606203552633,11090.0,0.5741590604253813
