feature,importance
num__egress_time_min,0.42371923229542185
num__access_time_min,0.38697220886598244
num__trip_duration_min,0.05832921905124042
num__trip_distance_miles,0.05774506514279295
num__age,0.021021290360501557
num__vehicles_available,0.010635058725422163
num__commute_trip,0.004658220100355928
cat__trip_purpose_group_commuting/work,0.004624166323867407
cat__trip_purpose_group_other,0.003478834185478126
cat__sex_1,0.002770033197661993
cat__sex_2,0.0026382178885084756
cat__trip_purpose_group_shopping/errands,0.0024542357191645586
cat__household_income_cat_1,0.0019599180390046443
cat__household_income_cat_4,0.001735966040629533
cat__household_income_cat_2,0.0016828838897992358
cat__household_income_cat_11,0.001644883104407475
cat__household_income_cat_6,0.0016179939741918841
cat__household_income_cat_3,0.0015555970994925777
cat__household_income_cat_10,0.0014645023075435001
cat__urban_or_msa_1,0.001417483459018314
cat__household_income_cat_7,0.0013585469544749008
cat__household_income_cat_5,0.001258565486105026
cat__urban_or_msa_2,0.001152622855386788
cat__household_income_cat_8,0.0011417636936718498
cat__trip_purpose_group_leisure/social,0.0010318965308189168
cat__household_income_cat_9,0.0009447726765740819
cat__urban_or_msa_4,0.0006121552585372162
cat__household_income_cat_-7,0.00023712963609836697
cat__household_income_cat_-8,0.0001375371378478348
cat__sex_-7,0.0
cat__household_income_cat_-9,0.0
cat__sex_-8,0.0
